Season,Race,Driver,Team,Stint,Compound,NumLaps,DegRate,Intercept,MeanLapTime,WetAffected
season2025,Monaco,PIA,McLaren,2.0,HARD,25,0.01435445866902127,76.81958997351283,75.13592,False
season2025,Monaco,PIA,McLaren,3.0,HARD,29,0.1202960591132991,76.72909064039409,75.13382758620689,False
season2025,Monaco,RUS,Mercedes,1.0,HARD,43,-0.0025194299485500784,80.64987495170872,78.92027906976745,False
season2025,Monaco,RUS,Mercedes,2.0,MEDIUM,11,-0.2769829721362228,81.07286842105263,75.59254545454546,False
season2025,Monaco,SAI,Williams,1.0,HARD,38,-0.03886586215243016,81.38387090065751,78.8075,False
season2025,Monaco,SAI,Williams,3.0,MEDIUM,22,0.000162619988706546,79.63848447204967,76.03931818181819,False
season2025,Monaco,STR,Aston Martin,1.0,HARD,8,-0.055992424242424434,81.15240909090913,79.87549999999999,False
season2025,Monaco,STR,Aston Martin,2.0,HARD,44,0.09485438722842428,78.47660810226861,78.59659090909092,False
season2025,Monaco,STR,Aston Martin,3.0,MEDIUM,11,0.2900454545454536,77.60181818181822,76.01718181818183,False
season2025,Monaco,TSU,Red Bull Racing,2.0,HARD,63,0.027921935998472307,79.83045394799662,78.70952380952382,False
season2025,Monaco,VER,Red Bull Racing,1.0,HARD,19,-0.1624347369801917,80.25981385281385,76.48331578947368,False
season2025,Monaco,VER,Red Bull Racing,2.0,MEDIUM,46,0.08040739296495916,76.24911711295267,75.35258695652173,False
season2025,Montréal,ALB,Williams,1.0,MEDIUM,21,0.13559480519480593,76.62553073593068,78.13504761904761,False
season2025,Montréal,ALB,Williams,2.0,HARD,22,0.16467080745341697,76.9274330886505,77.03331818181819,False
season2025,Montréal,ALO,Aston Martin,1.0,MEDIUM,13,0.2213626373626381,75.1948021978022,77.41115384615385,False
season2025,Montréal,ALO,Aston Martin,2.0,HARD,32,0.024505191408417504,78.08432567171275,76.74921875,False
season2025,Montréal,ALO,Aston Martin,3.0,HARD,14,0.04718241758241821,78.18690989010989,75.41764285714285,False
season2025,Montréal,ANT,Mercedes,1.0,MEDIUM,12,0.11187062937062872,75.4808298368298,76.57858333333334,False
season2025,Montréal,ANT,Mercedes,2.0,HARD,22,0.010114059853190142,77.11155110107288,75.7905909090909,False
season2025,Montréal,ANT,Mercedes,3.0,HARD,25,0.015265309707860273,77.63116484288726,74.93084,False
season2025,Montréal,BEA,Haas F1 Team,1.0,MEDIUM,16,0.11384852941176732,77.4805014705882,78.03956249999999,False
season2025,Montréal,BEA,Haas F1 Team,2.0,HARD,44,0.04175298790395449,78.24244006138284,76.9363181818182,False
season2025,Montréal,BOR,Kick Sauber,1.0,HARD,46,0.03611501695960475,78.27642121492445,77.81373913043478,False
season2025,Montréal,BOR,Kick Sauber,2.0,MEDIUM,14,0.1362131868131885,78.04468791208785,76.04,False
season2025,Montréal,COL,Alpine,1.0,MEDIUM,12,0.05574125874125874,77.37640093240094,77.66066666666667,False
season2025,Montréal,COL,Alpine,2.0,HARD,48,0.05214533967949661,78.13847455827968,77.29472916666667,False
season2025,Montréal,GAS,Alpine,1.0,HARD,50,0.03193527279725358,78.36700044904896,77.75394,False
season2025,Montréal,GAS,Alpine,2.0,MEDIUM,10,0.15689090909090986,77.79670909090906,75.544,False
season2025,Montréal,HAD,Racing Bulls,1.0,MEDIUM,11,0.10796363636363814,77.42234545454545,77.7930909090909,False
season2025,Montréal,HAD,Racing Bulls,2.0,HARD,49,0.055623223450454146,77.93607150611922,77.29310204081632,False
season2025,Montréal,HAM,Ferrari,1.0,MEDIUM,13,0.08441208791209173,76.62924175824173,76.86453846153846,False
season2025,Montréal,HAM,Ferrari,2.0,HARD,28,0.02058319649698919,77.72571045429666,76.36725,False
season2025,Montréal,HAM,Ferrari,3.0,HARD,18,0.020913312693499695,78.20993653250775,75.34483333333334,False
season2025,Montréal,HUL,Kick Sauber,1.0,MEDIUM,17,0.09133333333332962,77.24407843137259,77.60741176470589,False
